Date,Number1,Number2,Number3,Number4,Number5,Bonus,Multiplier
2024-06-18,21,22,50,55,67,20,2
2024-06-21,3,18,27,40,44,19,4
2024-06-25,3,16,27,47,62,8,4
2024-06-28,28,31,33,42,66,24,3
2024-07-02,4,8,19,31,45,11,4
2024-07-05,6,15,32,54,67,4,3
2024-07-09,21,26,54,60,64,3,3
2024-07-12,15,35,48,53,68,8,3
2024-07-16,5,35,42,58,66,22,2
2024-07-19,10,17,23,50,67,3,3
2024-07-23,3,9,14,26,51,21,4
2024-07-26,2,14,33,58,65,3,3
2024-07-30,19,23,30,33,50,25,2
2024-08-02,6,7,24,44,54,13,4
2024-08-06,23,29,36,61,70,22,4
2024-08-09,12,32,38,40,57,21,2
2024-08-13,34,55,59,65,70,12,4
2024-08-16,22,38,48,51,61,5,3
2024-08-20,5,20,26,49,51,24,4
2024-08-23,28,30,44,66,69,2,3
2024-08-27,16,18,21,54,65,5,2
2024-08-30,10,17,20,24,54,8,4
2024-09-03,12,41,43,52,55,9,4
2024-09-06,6,23,41,59,63,25,2
2024-09-10,1,2,16,24,66,6,4
2024-09-13,21,55,56,57,66,1,3
2024-09-17,14,31,48,57,64,9,3
2024-09-20,20,21,40,49,55,11,3
2024-09-24,1,6,10,23,27,18,5
2024-09-27,29,46,53,69,70,23,2
2024-10-01,27,35,47,50,66,25,2
2024-10-04,21,39,42,43,45,3,2
2024-10-08,3,19,20,22,66,9,3
2024-10-11,3,10,29,52,57,20,3
2024-10-15,22,34,44,54,62,3,3
2024-10-18,4,9,26,39,58,23,4
2024-10-22,8,43,48,58,60,4,3
2024-10-25,23,26,35,41,43,7,2
2024-10-29,16,22,26,36,56,1,4
2024-11-01,11,22,42,46,51,4,2
2024-11-05,2,24,25,52,58,9,2
2024-11-08,25,28,42,64,69,19,3
2024-11-12,18,31,33,64,68,17,3
2024-11-15,5,17,35,55,69,19,2
2024-11-19,5,35,50,51,59,8,4
2024-11-22,13,20,26,32,65,2,2
2024-11-26,5,22,24,39,42,3,3
2024-11-29,3,29,34,37,38,17,2
2024-12-03,52,60,61,66,67,23,4
2024-12-06,16,21,33,39,45,24,2
2024-12-10,12,14,26,48,52,21,5
